train_number,delay_min,cancelled,snapshot_ts
13022,47,False,2026-09-06T18:30:40Z
13029,9,False,2026-09-06T18:30:40Z
15048,66,False,2026-09-06T18:30:40Z
13148,123,False,2026-09-06T18:30:40Z
12346,77,False,2026-09-06T18:30:40Z
05932,132,False,2026-09-06T18:30:40Z
15960,24,False,2026-09-06T18:30:40Z
64409,10,False,2026-09-06T18:30:40Z
64415,11,False,2026-09-06T18:30:40Z
12001,24,False,2026-09-06T18:30:40Z
22480,52,False,2026-09-06T18:30:40Z
64051,31,False,2026-09-06T18:30:40Z
64019,62,False,2026-09-06T18:30:40Z
16524,113,False,2026-09-06T18:30:40Z
43524,22,False,2026-09-06T18:30:40Z
18413,177,False,2026-09-06T18:30:40Z
22641,23,False,2026-09-06T18:30:40Z
02023,80,False,2026-09-06T18:30:40Z
12366,88,False,2026-09-06T18:30:40Z
13248,131,False,2026-09-06T18:30:40Z
15484,7,False,2026-09-06T18:30:40Z
12361,35,False,2026-09-06T18:30:40Z
13333,256,False,2026-09-06T18:30:40Z
13330,,True,2026-09-06T18:30:40Z
53231,123,False,2026-09-06T18:30:40Z
13210,266,False,2026-09-06T18:30:40Z
13048,246,False,2026-09-06T18:30:40Z
63384,168,False,2026-09-06T18:30:40Z
15483,151,False,2026-09-06T18:30:40Z
15138,,True,2026-09-06T18:30:40Z
55516,14,False,2026-09-06T18:30:40Z
13005,38,False,2026-09-06T18:30:40Z
13047,12,False,2026-09-06T18:30:40Z
12504,,True,2026-09-06T18:30:40Z
12837,6,False,2026-09-06T18:30:40Z
12863,29,False,2026-09-06T18:30:40Z
38727,32,False,2026-09-06T18:30:40Z
38725,69,False,2026-09-06T18:30:40Z
18022,50,False,2026-09-06T18:30:40Z
18406,44,False,2026-09-06T18:30:40Z
12101,71,False,2026-09-06T18:30:40Z
12809,10,False,2026-09-06T18:30:40Z
01150,291,False,2026-09-06T18:30:40Z
12752,8,False,2026-09-06T18:30:40Z
12405,13,False,2026-09-06T18:30:40Z
22122,157,False,2026-09-06T18:30:40Z
11841,16,False,2026-09-06T18:30:40Z
22129,60,False,2026-09-06T18:30:40Z
64702,48,False,2026-09-06T18:30:40Z
12534,16,False,2026-09-06T18:30:40Z
12627,105,False,2026-09-06T18:30:40Z
22456,12,False,2026-09-06T18:30:40Z
