number,name,type,type_canonical,zone,from_station_code,from_station_name,to_station_code,to_station_name,distance,duration_h,duration_m,arrival,departure,return_train,sleeper,third_ac,second_ac,first_ac,first_class,chair_car
18208,Jaipur Durg Express,Exp,Express,SECR,JP,JAIPUR,DURG,DURG,1268,24,40,22:15:00,21:35:00,18207,1,1,1,0,0,0
18209,Dalli Rajhara Raipur Express,Exp,Express,SECR,DRZ,Dalli Rajhara,R,RAIPUR JN,126,3,15,10:05:00,06:50:00,18210,0,0,0,0,0,0
18236,Bilaspur Express Cum Passenger,Exp,Express,SECR,BSP,BILASPUR JN,BPL,BHOPAL JN,717,21,50,18:15:00,20:25:00,18235,1,0,0,0,1,0
18239,Gerva Road-Nagpur Express,Exp,Express,SECR,GAD,Gevra Road,NGP,NAGPUR,513,11,45,05:30:00,17:45:00,,1,1,1,0,0,0
18240,Nagpur Bilaspur Express,Exp,Express,SECR,NGP,NAGPUR,BSP,BILASPUR JN,412,7,40,07:15:00,23:35:00,,1,1,1,0,0,0
18241,Durg Ambikapur Express,Exp,Express,SECR,DURG,DURG,ABKP,AMBIKAPUR,469,10,55,07:05:00,20:10:00,18242,1,1,1,0,0,0
18241-Slip,Durg Ambikapur Express Slip,Exp,Express,SECR,DURG,DURG,CHRM,Chirmiri,381,11,55,08:05:00,20:10:00,,1,0,0,0,0,0
18301,Rayagada Express,Exp,Express,ECoR,SBP,SAMBALPUR,RGDA,RAYAGADA,322,6,50,13:20:00,06:30:00,18302,0,0,0,0,0,1
52179,Dhaulpur Sirmuttra Passenger,Pass,Passenger,NCR,DHO,DHAULPUR,SRMT,Sirmuttra,70,3,0,07:00:00,04:00:00,52180,0,0,0,0,0,0
56014,Vellore Cantt-Arakkonam Passenger,Pass,Passenger,SR,VLR,VELLORE CANT,AJJ,ARAKKONAM,71,2,25,11:50:00,09:25:00,56013,0,0,0,0,0,0
12380,Amritsar - Sealdah Superfast Express,SF,Superfast,ER,ASR,AMRITSAR JN,SDAH,KOLKATA SEALDAH,1894,30,35,17:25:00,10:50:00,12379,1,1,1,0,0,0
12663,Howrah-Tiruchirappalli Express,SF,Superfast,SR,HWH,HOWRAH JN,TPJ,TIRUCHIRAPPALLI,2025,36,15,04:25:00,16:10:00,12664,1,1,1,0,0,0
14260,LUCKNOW CHARBAGH - MUGHAL SARAI Ekatmata Exp,Exp,Express,NR,LKO,LUCKNOW,MGS,MUGHAL SARAI JN,2796,52,0,01:15:00,21:15:00,14259,1,1,1,0,0,0
15901,BENGALURU - NEW TINSUKIA Weekly Exp,Exp,Express,NFR,SBC,BANGALORE CITY JN,NTSK,NEW TINSUKIA JN,3578,68,15,20:10:00,23:55:00,15902,1,1,1,0,0,0
16312,KOCHUVELI - BIKANER Express,Exp,Express,SR,KCVL,KOCHUVELI,BKN,BIKANER JN,3002,54,45,22:00:00,15:15:00,16311,1,1,1,0,0,0
16515,Yesvantpur - Karwar Express,Exp,Express,SWR,YPR,YESVANTPUR JN,KAWR,KARWAR,794,15,30,23:00:00,07:30:00,16516,0,0,0,0,0,1
17038,BIKANER - SECUNDERABAD Express,Exp,Express,SCR,BKN,BIKANER JN,SC,SECUNDERABAD JN,2113,41,10,08:50:00,15:40:00,17037,1,1,1,0,0,0
17310,VASCO DA GAMA - YESVANTPUR Exp,Exp,Express,SWR,VSG,VASCO DA GAMA,YPR,YESVANTPUR JN,700,14,40,11:25:00,20:45:00,17309,1,1,1,0,0,0
17609,PATNA - PURNA Exp,Exp,Express,SCR,PNBE,PATNA JN,PAU,PURNA JN,1819,31,55,07:05:00,23:10:00,17610,1,1,1,0,0,0
18029,MUMBAI LTT [Kurla] - KOLKATA SALIMAR Exp,Exp,Express,SER,LTT,LOKMANYA TILAK TERM,SHM,KOLKATA SHALIMAR,1951,38,25,12:15:00,21:50:00,18030,1,1,1,0,0,0
18048-Slip,Amaravati Express,Exp,Express,SCR,VSG,VASCO DA GAMA,KCG,KACHEGUDA,853,21,50,05:00:00,07:10:00,,1,0,1,0,0,0
18101,Tatanagar Jammu Tawi Express,Exp,Express,SER,TATA,TATANAGAR JN,JAT,JAMMU TAWI,2026,46,50,13:40:00,14:50:00,18102-Slip,1,1,1,0,0,0
18102-Slip,Jammu-Tata Muri Express Slip,Exp,Express,SER,JAT,JAMMU TAWI,TATA,TATANAGAR JN,2026,43,50,10:20:00,14:30:00,18101,1,1,1,0,0,0
18103,Jallianwalabagh Express,Exp,Express,SER,TATA,TATANAGAR JN,ASR,AMRITSAR JN,1749,33,15,06:30:00,21:15:00,18104,1,1,1,0,0,0
18181,Tata-Chapra Express,Exp,Express,SER,TATA,TATANAGAR JN,CPR,CHHAPRA,636,18,45,16:20:00,21:35:00,18182,1,1,0,0,0,0
18181-Slip,Tata-Chapra Express Slip,Exp,Express,SER,TATA,TATANAGAR JN,KIR,KATIHAR JN,600,16,45,14:20:00,21:35:00,,1,1,0,0,0,0
18182,Chhapra-Tata Express,Exp,Express,SER,CPR,CHHAPRA,TATA,TATANAGAR JN,636,17,50,06:40:00,12:50:00,18181,1,1,0,0,0,0
18183,Tata-Danapur Express,Exp,Express,SER,TATA,TATANAGAR JN,DNR,DANAPUR,512,11,27,19:22:00,07:55:00,18184,0,0,0,0,0,1
18184,Danapur-Tatanagar Express,Exp,Express,SER,DNR,DANAPUR,TATA,TATANAGAR JN,512,11,10,17:10:00,06:00:00,18183,0,0,0,0,0,1
18189,Tatanagar- Alappuzha (Alleppey) Express,Exp,Express,SER,TATA,TATANAGAR JN,ALLP,ALLEPPEY,2358,52,40,20:25:00,15:45:00,,1,1,1,0,0,0
18202,Nautanwa-Durg Nautanwa Express,Exp,Express,SECR,NTV,Nautanwa,DURG,DURG,1224,27,30,14:20:00,10:50:00,18201,1,1,1,0,0,0
18203,Betwa Express,Exp,Express,SECR,DURG,DURG,CNB,KANPUR CENTRAL,885,17,25,13:05:00,19:40:00,18204,1,1,1,0,0,0
18204,Betwa Express,Exp,Express,SECR,CNB,KANPUR CENTRAL,DURG,DURG,885,18,50,13:10:00,18:20:00,18203,1,1,1,0,0,0
18206,Nautanwa-Durg Express,Exp,Express,SECR,NTV,Nautanwa,DURG,DURG,1152,29,10,13:10:00,08:00:00,18205,1,1,1,0,0,0
18233,INDORE - BILASPUR Narmada Exp,Exp,Express,SECR,INDB,INDORE JN BG,BSP,BILASPUR JN,1010,24,35,17:25:00,16:50:00,18234,1,1,1,1,0,0
18234,BILASPUR - INDORE Narmada Exp,Exp,Express,SECR,BSP,BILASPUR JN,INDB,INDORE JN BG,1010,24,45,10:40:00,09:55:00,18233,1,1,1,1,0,0
18237,Chhattisgarh Express,Exp,Express,SECR,BSP,BILASPUR JN,ASR,AMRITSAR JN,2008,41,55,08:10:00,14:15:00,18238,1,1,1,1,0,0
18238,Chhattisgarh Express,Exp,Express,SECR,ASR,AMRITSAR JN,BSP,BILASPUR JN,2022,44,5,12:20:00,16:15:00,18237,1,1,1,1,0,0
18238-Slip,Chhattisgarh Express Slip,Exp,Express,SECR,ASR,AMRITSAR JN,CWA,Chhindwara Junction,1557,36,15,04:30:00,16:15:00,,1,1,1,1,0,0
18242,Ambikapur Durg Express Cum Passenger,Exp,Express,SECR,ABKP,AMBIKAPUR,DURG,DURG,469,11,35,09:10:00,21:35:00,18241,1,1,1,0,0,0
18302-Slip,Sambalpur Express Slip,Exp,Express,?,RGDA,RAYAGADA,PURI,PURI,695,16,45,07:15:00,14:30:00,,1,0,0,0,0,0
18401,Puri - Okha (Weekly) Express,Exp,Express,ECoR,PURI,PURI,OKHA,OKHA,2779,54,30,15:15:00,08:45:00,18402,1,1,1,0,0,0
