station,interactions,mean_risk,high_risk_interactions,mean_source_delay,mean_gap,warning_rate,bottleneck_score
CKP,30,0.5318657554326881,30,178.8,16.233333333333334,1.0,0.7659328777163441
CHI,40,0.5175368757152922,39,104.9,12.55,0.975,0.66860624546391
ASH,58,0.5100016815864712,53,120.39655172413794,15.844827586206897,0.9137931034482759,0.6638105299084095
RN,81,0.5422733131000707,79,85.8395061728395,13.358024691358025,0.9753086419753086,0.6597465938549764
BINA,232,0.557819273538233,224,62.37931034482759,15.297413793103448,0.9655172413793104,0.6383403241100098
DBA,44,0.5076211663503062,41,93.13636363636364,16.40909090909091,0.9318181818181818,0.6375354153899182
LTT,48,0.5540879288100472,48,41.916666666666664,17.0,1.0,0.6239306161574472
MAO,45,0.549231591359849,45,42.577777777777776,16.77777777777778,1.0,0.622241945319497
NZM,223,0.556331105242985,223,37.68609865470852,14.766816143497758,1.0,0.6203200253896228
ANVT,84,0.588410878634478,84,20.607142857142858,15.583333333333334,1.0,0.6172559346831706
NDLS,484,0.5574098796298443,484,28.47107438016529,9.258264462809917,1.0,0.6105517791663375
KHED,31,0.507495936776564,29,65.96774193548387,15.838709677419354,0.9354838709677419,0.6081825501880944
MRGA,33,0.5051786846784245,29,81.81818181818181,17.454545454545453,0.8787878787878788,0.6077449250115735
CSMT,199,0.5902495325261646,199,10.140703517587939,13.683417085427136,1.0,0.6064678350747019
ASR,91,0.5906126936944642,91,9.164835164835164,20.791208791208792,1.0,0.6055578403202021
PNVL,109,0.5135689168966878,102,59.39449541284404,15.559633027522937,0.9357798165137615,0.60395519916628
MKP,98,0.5127811231802595,98,40.48979591836735,16.489795918367346,1.0,0.6016811610513907
VGLJ,417,0.5452858273778846,360,61.256594724220626,12.13189448441247,0.8633093525179856,0.6001554003439136
HD,43,0.5054444433771076,39,66.74418604651163,16.511627906976745,0.9069767441860465,0.5994731711708908
BPQ,122,0.5226500864669689,107,66.88524590163935,16.270491803278688,0.8770491803278688,0.5992555086312179
DLI,174,0.5454139295636263,174,23.701149425287355,12.689655172413794,1.0,0.5992183176065193
ROU,92,0.5032083937299138,71,101.3695652173913,15.608695652173912,0.7717391304347826,0.5965147114063439
AMRO,30,0.5067943507520811,29,46.233333333333334,16.9,0.9666666666666667,0.5951123133327891
HWH,308,0.5408577034048722,308,22.064935064935064,11.243506493506494,1.0,0.5951099871218265
TVC,70,0.5737878526166464,70,6.4714285714285715,14.757142857142858,1.0,0.5941326607282658
BAQ,80,0.5051373523256562,74,55.9875,18.05,0.925,0.5926945150890026
DHO,46,0.5020954187344177,36,94.80434782608695,15.73913043478261,0.782608695652174,0.5918754498593789
MRA,49,0.5034003884518422,41,79.0204081632653,14.89795918367347,0.8367346938775511,0.5911103206926152
PNBE,275,0.5255771261022758,272,23.93090909090909,13.472727272727273,0.9890909090909091,0.5862841904662285
KUN,77,0.5045938835798289,71,48.16883116883117,16.68831168831169,0.922077922077922,0.5828004427632141
GKP,247,0.5099338438557756,235,37.2914979757085,14.1417004048583,0.951417004048583,0.5821051081264765
BBS,254,0.5338133204581058,230,38.03543307086614,13.622047244094489,0.905511811023622,0.5811054306847593
CD,44,0.4999565772234146,33,93.70454545454545,16.318181818181817,0.75,0.5797932164132122
UMB,466,0.5166268406672418,457,24.30472103004292,13.611587982832617,0.98068669527897,0.5797059177652346
MAS,205,0.5394355573060305,204,7.88780487804878,12.819512195121952,0.9951219512195122,0.5770774119808921
BMB,31,0.504367463354986,28,47.935483870967744,17.096774193548388,0.9032258064516129,0.5767705830883322
LAR,127,0.5037056486680017,110,57.826771653543304,15.062992125984252,0.8661417322834646,0.5763785337881042
KOO,53,0.5043503958891523,49,40.339622641509436,15.924528301886792,0.9245283018867925,0.5746563089149869
TLD,32,0.5045863257377542,30,36.21875,14.65625,0.9375,0.574056306045611
BPL,427,0.5144075919612283,379,43.81030444964871,13.48711943793911,0.8875878220140515,0.5724849574054658
BDTS,46,0.5348849711203421,46,1.4782608695652173,17.217391304347824,1.0,0.5690960212084542
FDB,46,0.5046332565550162,38,61.34782608695652,16.630434782608695,0.8260869565217391,0.5687644446377844
MYS,55,0.5338983461727128,55,1.3272727272727274,21.945454545454545,1.0,0.5684338181951626
LJN,56,0.5202838394241295,56,7.392857142857143,17.535714285714285,1.0,0.5684113348606745
MMCT,52,0.532389680717839,52,1.6730769230769231,17.192307692307693,1.0,0.5680662910558735
FUT,76,0.5040065823855816,71,30.736842105263158,17.236842105263158,0.9342105263157895,0.5666477042388287
TDD,91,0.5020443521730477,75,61.0,15.648351648351648,0.8241758241758241,0.5665075855316648
DBG,46,0.506602725891793,44,22.91304347826087,14.195652173913043,0.9565217391304348,0.5658876872334172
DAA,39,0.5034437097705787,34,46.92307692307692,15.23076923076923,0.8717948717948718,0.5657469796486692
GWL,299,0.5027533964852837,245,61.07357859531773,13.51505016722408,0.8193979933110368,0.5655110611076729
SBC,230,0.5294739970141221,225,6.208695652173913,13.07391304347826,0.9782608695652174,0.5651601090994159
BZA,514,0.5348362795725927,428,42.011673151750976,12.0,0.8326848249027238,0.5642165102456492
SIR,42,0.5015447017807266,36,50.11904761904762,17.023809523809526,0.8571428571428571,0.5639767825511708
KKDE,92,0.5032838649059433,85,31.26086956521739,15.347826086956522,0.9239130434782609,0.5637832611174985
SPJ,164,0.503863443651377,157,21.25609756097561,15.451219512195122,0.9573170731707317,0.5629032392589837
JAJ,127,0.4959176458914418,127,13.188976377952756,15.32283464566929,1.0,0.5627115929434309
RJN,50,0.5000263133663263,38,75.34,15.66,0.76,0.5622860873319327
SGO,42,0.5003676168808563,32,74.66666666666667,14.952380952380953,0.7619047619047619,0.562274998383967
MS,98,0.5076121596787929,98,7.030612244897959,16.56122448979592,1.0,0.5616702993527052
RDM,41,0.49870455780273926,29,89.46341463414635,16.609756097560975,0.7073170731707317,0.5616183344478312
INDB,66,0.5171930575397727,66,2.5454545454545454,15.727272727272727,1.0,0.5614437933621175
PURI,66,0.5046619739318295,66,8.075757575757576,17.03030303030303,1.0,0.5613642728448383
SNP,51,0.5019758839829872,44,45.98039215686274,16.725490196078432,0.8627450980392157,0.5612436773952748
RMU,112,0.5039857809221514,102,31.928571428571427,14.071428571428571,0.9107142857142857,0.5609214618896471
KNE,113,0.5014338732353537,93,55.716814159292035,15.150442477876107,0.8230088495575221,0.5599426498286606
CSN,67,0.5024779656636998,60,35.701492537313435,15.925373134328359,0.8955223880597015,0.5598302546606254
BALU,43,0.4979283272859244,32,78.11627906976744,16.3953488372093,0.7441860465116279,0.559598365817667
BHS,114,0.50250930134268,99,41.99122807017544,15.798245614035087,0.868421052631579,0.5587510202305849
NGP,268,0.5080940268371404,194,78.03731343283582,12.664179104477611,0.7238805970149254,0.5585012522913205
SPN,155,0.5035389891379632,131,47.29677419354839,15.012903225806452,0.8451612903225807,0.558222550786056
SC,271,0.5217540914500253,245,22.988929889298895,13.560885608856088,0.9040590405904059,0.5578094445792026
